mouse,day,session,filepath
21,19,OF2,Harry/EphysNeuropixelData/of/M21_D19_2024-05-21_16-32-05_OF2
21,19,VR,Harry/EphysNeuropixelData/vr/M21_D19_2024-05-21_15-55-06_VR1
21,20,OF1,Harry/EphysNeuropixelData/of/M21_D20_2024-05-22_15-17-31_OF1
21,20,OF2,Harry/EphysNeuropixelData/of/M21_D20_2024-05-22_16-41-59_OF2
21,20,VR,Harry/EphysNeuropixelData/vr/M21_D20_2024-05-22_16-05-37_VR1
21,21,OF1,Harry/EphysNeuropixelData/of/M21_D21_2024-05-23_15-50-21_OF1
21,21,OF2,Harry/EphysNeuropixelData/of/M21_D21_2024-05-23_16-58-03_OF2
21,21,VR,Harry/EphysNeuropixelData/vr/M21_D21_2024-05-23_16-16-08_VR1
21,22,OF1,Harry/EphysNeuropixelData/of/M21_D22_2024-05-24_15-31-28_OF1
21,22,OF2,Harry/EphysNeuropixelData/of/M21_D22_2024-05-24_16-41-40_OF2
21,22,VR,Harry/EphysNeuropixelData/vr/M21_D22_2024-05-24_16-04-58_VR1
21,23,OF1,Harry/EphysNeuropixelData/of/M21_D23_2024-05-25_16-07-17_OF1
21,23,OF2,Harry/EphysNeuropixelData/of/M21_D23_2024-05-25_17-32-50_OF2
21,23,VR,Harry/EphysNeuropixelData/vr/M21_D23_2024-05-25_16-54-12_VR1
21,24,OF1,Harry/EphysNeuropixelData/of/M21_D24_2024-05-26_15-58-23_OF1
21,24,OF2,Harry/EphysNeuropixelData/of/M21_D24_2024-05-26_17-13-23_OF2
21,24,VR,Harry/EphysNeuropixelData/vr/M21_D24_2024-05-26_16-35-19_VR1
21,25,OF1,Harry/EphysNeuropixelData/of/M21_D25_2024-05-27_15-35-57_OF1
21,25,OF2,Harry/EphysNeuropixelData/of/M21_D25_2024-05-27_16-39-07_OF2
21,25,VR,Harry/EphysNeuropixelData/vr/M21_D25_2024-05-27_16-00-30_VR1
21,26,OF1,Harry/EphysNeuropixelData/of/M21_D26_2024-05-28_16-35-31_OF1
21,26,OF2,Harry/EphysNeuropixelData/of/M21_D26_2024-05-28_17-39-12_OF2
21,26,VR,Harry/EphysNeuropixelData/vr/M21_D26_2024-05-28_17-04-41_VR1
21,27,OF1,Harry/EphysNeuropixelData/of/M21_D27_2024-05-29_16-22-23_OF1
21,27,OF2,Harry/EphysNeuropixelData/of/M21_D27_2024-05-29_17-32-54_OF2
21,27,VR,Harry/EphysNeuropixelData/vr/M21_D27_2024-05-29_16-50-48_VR1
21,28,OF1,Harry/EphysNeuropixelData/of/M21_D28_2024-05-30_17-04-42_OF1
21,28,OF2,Harry/EphysNeuropixelData/of/M21_D28_2024-05-30_18-01-23_OF2
21,28,VR,Harry/EphysNeuropixelData/vr/M21_D28_2024-05-30_17-28-04_VR1
22,33,OF1,Harry/EphysNeuropixelData/of/M22_D33_2024-10-20_12-37-39_OF1
22,33,OF2,Harry/EphysNeuropixelData/of/M22_D33_2024-10-20_13-46-26_OF2
22,33,VR,Harry/EphysNeuropixelData/vr/M22_D33_2024-10-20_13-05-11_VR1
22,34,OF1,Harry/EphysNeuropixelData/of/M22_D34_2024-10-21_13-54-34_OF1
22,34,OF2,Harry/EphysNeuropixelData/of/M22_D34_2024-10-21_14-57-34_OF2
22,34,VR,Harry/EphysNeuropixelData/vr/M22_D34_2024-10-21_14-22-29_VR1
22,35,OF1,Harry/EphysNeuropixelData/of/M22_D35_2024-10-22_12-51-15_OF1
22,35,OF2,Harry/EphysNeuropixelData/of/M22_D35_2024-10-22_13-57-46_OF2
22,35,VR,Harry/EphysNeuropixelData/vr/M22_D35_2024-10-22_13-22-24_VR1
22,36,OF1,Harry/EphysNeuropixelData/of/M22_D36_2024-10-23_13-46-09_OF1
22,36,OF2,Harry/EphysNeuropixelData/of/M22_D36_2024-10-23_15-09-30_OF2
22,36,VR,Harry/EphysNeuropixelData/vr/M22_D36_2024-10-23_14-29-08_VR1
22,37,OF1,Harry/EphysNeuropixelData/of/M22_D37_2024-10-24_13-34-24_OF1
22,37,OF2,Harry/EphysNeuropixelData/of/M22_D37_2024-10-24_14-40-48_OF2
22,37,VR,Harry/EphysNeuropixelData/vr/M22_D37_2024-10-24_14-04-41_VR1
22,38,OF1,Harry/EphysNeuropixelData/of/M22_D38_2024-10-26_12-51-22_OF1
22,38,OF2,Harry/EphysNeuropixelData/of/M22_D38_2024-10-26_13-55-05_OF2
22,38,VR,Harry/EphysNeuropixelData/vr/M22_D38_2024-10-26_13-16-00_VR1
